All,Все
"An attribute group named ""/name/"" already exists.","Группа атрибутов с именем «имя /» уже существует."
"Sorry, we're unable to complete this request.","Извините, мы не можем выполнить этот запрос."
"You can't remove attributes from this attribute set.","Вы не можете удалить атрибуты из этого набора атрибутов."
"Custom Options","Пользовательские настройки"
"This is a required option.","Это обязательный параметр."
"The field isn't complete.","Поле не является полным."
"Compatible file extensions to upload","Совместимые расширения файлов для загрузки"
"Maximum image width","Максимальная ширина изображения"
"Maximum image height","Максимальная высота изображения"
"Maximum number of characters:","Максимальное количество символов:"
"start typing to search template","начните ввод для поиска шаблона"
"Product online","Товар онлайн"
"Product offline","Товар оффлайн"
"Product online status","Онлайн статус продукта"
"Manage Stock","Управление наличием"
"Out-of-Stock Threshold","Порог из запасов"
"Minimum Qty Allowed in Shopping Cart","Минимальное Кол-во в корзину"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во в корзину"
"Qty Uses Decimals","Количество использует десятичные дроби"
Backorders,Предзаказы
"Notify for Quantity Below","Уведомления для количества ниже"
"Enable Qty Increments","Включение Qty с шагом"
"Qty Increments","Qty с шагом"
"Stock Availability","Наличие на складе"
"In Stock","В наличии"
"Out of Stock","Нет в наличии"
"Add Product To Websites","Добавить продукт для веб-сайтов"
"Remove Product From Websites","Удалить продукт из веб-сайтов"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Чтобы скрыть элемент в результатах поиска или каталога, установите состояние «Запрещено»."
"Delete Custom Option","Удаление пользовательского параметра"
"Sort Custom Options","Пользовательские параметры сортировки"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span></span> %2 <span>px.</span>"
"Sort Custom Option","Сортировка пользовательских настроек"
"Item Price","Цена товара"
"and above","и выше"
"Delete Tier","Удалить уровень"
"Product In Websites","Продукт на веб-сайтах"
"(Copy data from: %1)","(Копирование данных из: %1)"
"Browse to find or drag image here","Найдите или перетащите изображение здесь"
"Delete image","Удалить изображение"
Hidden,Скрытое
"Alt Text","Замещающий текст"
Role,Роль
"Image Size","Размер изображения"
"Image Resolution","Разрешение изображения"
"Hide from Product Page","Скрыть от страницы товара"
"Allow Multiple Boxes for Shipping","Разрешить несколько коробок для доставки"
"start typing to search attribute","начать вводить атрибут поиска"
"Basic Settings","Основные настройки"
"Advanced Settings","Расширенные настройки"
"Buy %1 for: ","Купить %1 для: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Купить %1 на %2 и <strong class=""benefit"">сохранить<span class=""percent tier-%3"">&nbsp;%4<div class=""notranslate"">%</div></strong>"
"Buy %1 for %2 each","Купить %1 для %2"
"Shop By","Магазин по"
"Shopping Options","Варианты покупок"
"Compare Products","Сравнение продуктов"
"Print This Page","Распечатать эту страницу"
"Remove Product","Удалить товар"
"Add to Wish List","Добавить в список желаний"
"You have no items to compare.","У вас нет товаров для сравнения."
"Remove This Item","Удалить этот элемент"
Compare,Сравнить
"Clear All","Очистить все"
Prev,Назад
"We can't find products matching the selection.","Мы не можем найти продукты, соответствующие выбору."
"Learn More",Подробнее
"Add to Compare","Добавить в сравнение"
"We found other products you might like!","Мы нашли другие продукты, которые вам могут понравиться!"
"More Choices:","Больше вариантов:"
"Check items to add to the cart or","Проверьте продукты для добавления в корзину или"
"select all","выбрать все"
"Items %1-%2 of %3","Элементы %1-%2 из %3"
"%1 Item","элемент %1"
"%1 Items","%1 элементов"
Show,Показать
"Sort By","Сортировать по"
"Set Ascending Direction","Задать направление по возрастанию"
"Set Descending Direction","Задать направление по убыванию"
"View as","Посмотреть, как"
"More Information","Подробная информация"
"We don't recognize or support this file extension type.","Мы не распознаем или не поддерживаем этот тип файла."
"Configure Product","Настроить продукт"
"This value does not follow the specified format (for example, 200x300).","Это значение не соответствует указанному формату (например, 200X300)."
"Select type of option.","Выберите тип опции."
"Please add rows to option.","Пожалуйста, добавьте строки к варианту."
"Choose existing category.","Выберите существующую категорию."
"Image Detail","Детали изображения"
Adding...,Добавление...
Added,Добавлено
"does not implement Storage Interface","не реализуют интерфейс хранения"
"unselect all","снять все выделения"
Inventory,Запасы
"Catalog Section","Раздел каталога"
Small,Маленький
Main,Главная
"Custom image","Свое изображение"
"Product Fields Auto-Generation","Автоматическое создание поля продукта"
"Mask for SKU","Маска для SKU"
"Use {{name}} as Product Name placeholder","Используйте {{name}} в качестве заполнителя название продукта"
"Mask for Meta Title","Маска для мета название"
"Mask for Meta Keywords","Маска для мета ключевые слова"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Используйте {{name}} в качестве имени продукта или {{sku}} местозаполнителями SKU продукта"
"Mask for Meta Description","Маска для мета-описания"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Используйте {{name}} и {{description}} в качестве заполнителей название продукта и описание продукта"
"Recently Viewed/Compared Products","Недавно Просмотрели по сравнению продуктов"
"Lifetime of products in Recently Viewed Widget","Срок службы изделий в недавно Просмотрели виджет"
"Lifetime of products in Recently Compared Widget","Срок службы изделий в недавно по сравнению виджет"
"Synchronize widget products with backend storage","Синхронизировать виджет продуктов с бэкэнд хранения"
Storefront,Витрина
"List Mode","Режим списка"
"Products per Page on Grid Allowed Values","Товаров на странице на сетке допустимые значения"
Comma-separated.,"Разделенные запятой."
"Products per Page on Grid Default Value","Товаров на странице сетки значение по умолчанию"
"Must be in the allowed values list","Должен быть в списке допустимых значений"
"Products per Page on List Allowed Values","Товаров на странице в списке допустимых значений"
"Products per Page on List Default Value","Товаров на странице в списке значение по умолчанию"
"Use Flat Catalog Category","Использовать плоский каталог категории"
"Use Flat Catalog Product","Использовать плоский Каталог продукции"
"Product Listing Sort by","Сортировать список продуктов"
"Allow All Products per Page","Разрешить все продуктов на странице"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Показывать вариант «Все» в раскрывающемся списке «Показать X на страницу»"
"Allow Dynamic Media URLs in Products and Categories","Разрешить динамические URL-адреса носителей в продуктах и категориях"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Например {{Сми url=""path/to/image.jpg»}} {{кожи url=""path/to/picture.gif»}}. Динамический директивы синтаксического анализа воздействия каталог производительность."
"Product Image Placeholders","Местозаполнители изображений продукта"
"Page Title Separator","Разделитель заголовка страницы"
"Use Canonical Link Meta Tag For Categories","Использование тега мета каноническую ссылку для категории"
"Use Canonical Link Meta Tag For Products","Использование тега мета каноническую ссылку для продуктов"
"Catalog Price Scope","Каталог цен область"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Это определяет область базовой валюты («Настройка валют» > «Валютные опции» > «Базовая валюта»)."
"Category Top Navigation","Верхняя навигация категории"
"Maximal Depth","Максимальная глубина"
"Date & Time Custom Options","Дата & время пользовательские параметры"
"Use JavaScript Calendar","Использование JavaScript календарь"
"Date Fields Order","Порядок полей Дата"
"Time Format","Формат времени"
"Year Range","Диапазон лет"
"Please use a four-digit year format.","Просьба используйте четырехзначный формат."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Использовать статические URL-адреса для медиа контента в WYSIWYG для каталога"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Это относится только к товарам и категориям. Содержимое будет вставлено в редактор как статический URL. Содержимое медиа не обновляется, если изменится системная конфигурационная база URL-адресов."
"Top Level Category","Топ категории"
"Product Info Column","Информация в столбце Product"
"Block after Info Column","Блок после столбца информация"
"Product Flat Data","Плоский данные продукта"
"Reorganize EAV product structure to flat structure","Реорганизовать структуру продукта EAV плоской структуры"
"Category Flat Data","Плоский данные категории"
"Reorganize EAV category structure to flat structure","Реорганизовать структуру категории EAV плоской структуры"
"Category Products","Товары категории"
"Indexed category/products association","Ассоциация индексированной категории/продукция"
"Product Categories","Категории продуктов"
"Indexed product/categories association","Индексированные продукта/категории Ассоциация"
"Product Price","Цена продукта"
"Index product prices","Цены на индекс товар"
"Product EAV","Продукта EAV"
"Index product EAV","Индекс продукта EAV"
"Catalog New Products List","Каталог список новых продуктов"
"List of Products that are set as New","Список продуктов, которые установлены как новые"
"Display Type","Тип дисплея"
"All products - recently added products, New products - products marked as new","Все продукты - недавно добавленные продукты, Новые продукты - продукция, обозначенная как новая"
"All products","Все товары"
"New products","Новые товары"
"Display Page Control","Контроль экранной страницы"
"Number of Products per Page","Количество продуктов на страницу"
"Number of Products to Display","Количество продуктов для отображения"
Template,Шаблон
"New Products Grid Template","Новый шаблон сетки продуктов"
"New Products List Template","Шаблон новых продуктов"
"New Products Images and Names Template","Шаблоны с изображениями и именами новых продуктов"
"New Products Names Only Template","Новый шаблон только названия продуктов"
"New Products Images Only Template","Новый шаблон только изображения продукции"
"Cache Lifetime (Seconds)","Время жизни кэша (в секундах)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 по умолчанию, если не установлено, очистите кэш HTML вывода."
"Catalog Product Link","Каталог продукта ссылка"
"Link to a Specified Product","Ссылка на указанный продукт"
"Select Product...","Выберите продукт..."
"Anchor Custom Text","Якорь текст"
"If empty, we'll use the product name here.","Если параметр пуст, мы будем использовать имя продукта здесь."
"Anchor Custom Title","Пользовательский заголовок якорь"
"Product Link Block Template","Шаблон блок ссылок продукта"
"Product Link Inline Template","Ссылка продукта встроенного шаблона"
"Catalog Category Link","Категория ссылки каталога"
"Link to a Specified Category","Ссылка на указанной категории"
"Select Category...","Выберите категорию..."
"If empty, we'll use the category name here.","Если параметр пуст, мы будем использовать имя категории здесь."
"Category Link Block Template","Категория ссылки блок шаблона"
"Category Link Inline Template","Категория ссылки встроенного шаблона"
"Recently Viewed Products","Недавно просмотренные товары"
"List of Products Recently Viewed by Visitor","Список товаров, недавно просматривал посетитель"
"UI Component","Компонент пользовательского интерфейса"
"Number of Products to display","Количество товаров для отображения"
"Product attributes to show","Показать атрибуты продукта"
Image,Изображение
"Learn More Link","Узнайте больше ссылка"
"Buttons to show","Кнопки Показать"
"Add to Wishlist","Добавить в Список желаний"
"Viewed Products Grid Template","Шаблон ""Сетка"" просмотренные товары"
"Viewed Products List Template","Шаблон списка просмотренные товары"
"Viewed Products Sidebar Template","Просмотренные товары боковой шаблона"
"Recently Compared Products","Недавно по сравнению продуктов"
"List of Products Recently Compared by Visitor","Список продуктов недавно сравнивающихся посетителем"
"Compared Products Grid Template","Шаблон ""Сетка"" по сравнению продуктов"
"Compared Products List Template","По сравнению шаблон списка продуктов"
Set,Задать
"Category Information","Категории информации"
"Enable Category","Включить категорию"
"Include in Menu","Включить в меню"
"Category Image","Изображение категории"
"Add CMS Block","Добавьте блок CMS"
"Display Settings","Параметры отображения"
"Display Mode","Режим отображения"
Anchor,Якорь
"Available Product Listing Sort By","Список доступных продуктов Сортировать по"
"Use All","Использовать все"
"Default Product Listing Sort By","Список продуктов по умолчанию Сортировать по"
"Layered Navigation Price Step","Слоистых навигации Цена шаг"
"URL Key","Ключ URL-адреса"
"Meta Title",Мета-заголовок
"Meta Keywords","Мета Ключевые Слова"
"Meta Description","Мета Описание"
"Products in Category","Продукты в категории"
Theme,Тема
Layout,Раскладка
"Layout Update XML","Обновление макета XML"
"Apply Design to Products","Применить дизайн продукции"
"Schedule Design Update","График дизайн обновление"
AttributeSetText,"Текст Набора Атрибутов"
StatusText,"Текст статуса"
"Product Image Watermarks","Продукт изображений водяных знаков"
Base,Основа
"Allowed file types: jpeg, gif, png.","Допустимые типы файлов: jpeg, gif, png."
"Image Opacity","Непрозрачность изображения"
"Example format: 200x300.","Пример формат: 200 x 300."
"Image Position","Положение изображения"
"Attribute Properties","Свойства атрибута"
"Attribute Label","Метка атрибута"
"Catalog Input Type for Store Owner","Входной тип каталога для владелец магазина"
Values,Значения
"Add this attribute to the list of column options in the product grid.","Этот атрибут добавляется к списку параметров столбца в сетке продукта."
"Add this attribute to the list of filter options in the product grid.","Этот атрибут добавляется к списку параметров фильтра в сетке продукта."
"Delete selected items?","Удалить выбранные файлы?"
"Delete items","Удаление объектов"
"Change status","Изменить статус"
"Update attributes","Обновить атрибуты"
Overview,Обзор
"Skip to the end of the images gallery","Пропустить и перейти к галереям изображений"
"Skip to the beginning of the images gallery","Перейти к началу галереи изображений"
"Recently Compared","Недавно по сравнению"
"Add To Cart","Добавить в корзину"
"Add To Compare","Добавить к сравнению"
"Learn more",Подробнее
"Recently Viewed","Недавно просмотренные"
"Save Category","Сохранить категорию"
"Delete Category","Удалить категорию"
"New Subcategory","Новая подкатегория"
"New Root Category","Новая корневая категория"
"Set Root Category for Store","Выберите домашнею категорию для магазина"
"Category Data","Категория данных"
"Not shared with other products","Не используется совместно с другими продуктами"
"Declare attribute value saving scope","Объявление значения атрибута области сохранения"
"Depends on design theme","Зависит от дизайна темы"
"We saved the price alert subscription.","Мы сохранили подписку на оповещение о цене."
"We saved the stock notification.","Мы сохранили уведомление о запасах."
"Images and Videos","Изображения и видео"
"Click here or drag and drop to add images.","Нажмите здесь, или перетащите изображения для добавления."
"Make Base","Создать базу"
"There was a category move error. %1","Произошла ошибка при перемещении категории. %1"
"You moved the category","Вы переместили категорию"
"This product no longer exists.","Этот товар больше не существует."
"We can't find the image file.","Мы не можем найти файл изображения."
"productFactory is already set","productFactory уже установлен"
"Could not save product option","Не удалось сохранить параметр продукта"
"Product option with id %1 does not exist","Вариант продукта с Id %1 не существует"
"Are you sure you want to delete this category?","Вы уверены, что вы хотите удалить эту категорию?"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Установить корневую категорию для этого магазина в <a href=""%1"">конфигурации</a>."
"Manage Options (values of your attribute)","Управление параметрами (значениями атрибута)"
"An attribute group named ""/name/"" already exists"".","Группа атрибутов с именем ""/name/"" уже существует""."
"Close panel","Закрыть панель"
"Allow Multiple Boxes for Shipping.","Разрешить несколько коробок для доставки."
Ok,Oк
"Watermark Default Size","Размер водяного знака по умолчанию"
"Watermark Opacity, Percent","Непрозрачность водяного знака, в процент"
Watermark,"Водяной знак"
"Watermark Position","Позиция водяного знака"
none,никаких
"File validation failed.","Ошибка проверки файла."
text,текст
"Tier Price","Уровень цены"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Если ваш сайт Magento имеет несколько представлений, вы можете установить область применения к конкретному представлению."
"Sort Products By","Сортировать продукты по"
"Default Product Sorting","Сортировка по умолчанию"
"Use Parent Category Settings","Использовать настройки родительской категории"
"Page not found","Страница не найдена"
"Full file path is expected.","Ожидается полный путь к файлу."
from,от
to,до
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Атрибут не может быть сохранен из-за ошибки. Проверьте вашу информацию и повторите попытку. Если ошибка повторяется, попробуйте позже."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Ошибка при проверки атрибута. Проверьте свою информацию и попробуйте еще раз. Если ошибка не исчезнет, повторите попытку позже."
"Tier prices data should be array, but actually other type is received","Данные по уровням цен должны быть массивными, но получены другие типы"
"Price indexer ""%1"" must implement %2 or %3","Индексатор цен ""%1"" должен реализовать %2 или %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Вы добавили товар %1 в<a href=""%2"">список сравнения.</a>."
"Maximum %1 characters","Максимум %1 символов"
remaining,осталось
"too many","слишком много"
"Sending attribute values as package.","Отправка значений атрибута в виде пакета."
"This value does not follow the specified format (for example, 200X300).","Это значение не соответствует указанному формату (например, 200X300)."
"Applies to category pages","Применить к категории страниц"
"Remember Category Pagination","Запомнить нумерацию категорий"
"Changing may affect SEO and cache storage consumption.","Изменение может повлиять на потребление SEO и кэширования."
Quality,Качество
"Jpeg quality for resized images 1-100%.","Качество Jpeg для изображений с измененным размером 1-100%."
Cost,Себестоимость
"The ""%1"" attribute is required. Enter and try again.","Требуемый атрибут ""%1"". Введите и повторите попытку."
"Attributes were missing and must be specified.","Атрибуты отсутствуют и должны быть указаны."
"The value of Admin must be unique. (%1)","Значение Admin должно быть уникальным. (%1)"
"The product was unable to be saved. Please try again.","Продукт не удалось сохранить. Пожалуйста, попробуйте еще."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Значение атрибута ""%1"" не уникально. Проверьте значение и повторите попытку."
"The category doesn't contain the specified product.","В категории нет указанного продукта."
"The %1 value wasn't found in the algorithms.","Значение %1 не было найдено в алгоритмах."
"The filters are invalid. Set them in an array and try again.","Недопустимые фильтры. Установить их порядок и повторите попытку."
"The product wasn't registered.","Продукт не зарегистрирован."
"The store wasn't registered. Verify the store and try again.","Этот магазин не был зарегестрирован. Проверьте магазин и повторите попытку."
"The ""%1"" attribute value is empty. Set the attribute and try again.","Значение атрибута «%1» пусто. Установите атрибут и попробуйте еще раз."
"The attribute set couldn't be created because it's based on a non-product attribute set.","Набор атрибутов не создан, поскольку он основан на наборе атрибутов, не относящихся к товару."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","Набор атрибутов не создан, поскольку он основан на наборе атрибутов, не относящихся к товару."
"The image content is invalid. Verify the content and try again.","Изображение является недопустимым. Проверьте содержимое и повторите попытку."
"The product can't be saved.","Товар не может быть сохранен."
"The new media gallery entry failed to save.","Не удалось сохранить новую медиа галерею."
"No image with the provided ID was found. Verify the ID and try again.","Изображение с такой ID не найдено. Проверьте ID и повторите попытку."
"The product doesn't exist. Verify and try again.","Продукт не существует. Проверьте и попробуйте еще раз."
"The image doesn't exist. Verify and try again.","Изображение не существует. Проверьте и попробуйте еще раз."
"The image doesn't exist.","Изображение не существует."
"The image type for the file is invalid. Enter the correct image type and try again.","Тип файл изображении недопустимый. Введите правильный тип изображения и повторите попытку."
"The ""%1"" file couldn't be moved.","Не удалось переместить файл «%1»."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku пуст. Установите ProductSku и попробуйте снова."
"The custom option couldn't be removed.","Пользовательский параметр не может быть удален."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Вариант(ы) продукта не были введены. Убедитесь, что параметры введены и повторите попытку."
"The file options format is invalid. Use a correct format and try again.","Недопустимый формат файла. Используйте правильный формат и повторите."
"The file ""%1"" is empty. Select another file and try again.","Файл «%1» пусто. Выберите другой файл и повторите попытку."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","Ошибка проверки. Убедитесь, что введены необходимые параметры и загружен файл, а затем повторите попытку."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Файл большой и не может быть загружены. Используйте файл меньшего размера %1 MBs и загрузите снова."
"The required option wasn't entered. Enter the option and try again.","Требуемый параметр не был введен. Введите параметр и повторите."
"The file is empty. Select another file and try again.","Файл пуст. Выберите другой файл и повторите попытку."
"The text is too long. Shorten the text and try again.","Слишком длинный текст. Сократите текст и повторите."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Запрошенный продукт не существует. Проверьте продукт и повторите попытку. ID строки: SKU = %SKU, ID хранилища: %storeId, Цена от: %priceFrom,, Цена до: %priceTo."
"Tier price is unavailable for this product.","Цена уровня недоступна для этого продукта."
"The ""%1"" product couldn't be removed.","Товар ""%1"" не может быть удален."
"Start typing to find products","Начните набирать для поиска товаров"
"Default Product Layout","Макет товара по умолчанию"
"Default Category Layout","Макет категории по умолчанию"
"Edit Event","Редактирование события"
"Add Event","Добавить событие"
Events,События
"Back to Category","Назад в категорию"
"Edit Catalog Event","Изменить событие каталога"
"Catalog Event Information","Информация о событии каталога"
Upcoming,Предстоящие
Open,Открыть
Closed,Закрыть
"Display Countdown Ticker On","Экран обратного отсчета дисплея включен"
"Category Page","Страница категории"
"Product Page","Страница товара"
"Coming Soon",Скоро
"Sale Ends In","Продажа заканчивается"
"You deleted the event.","Вы удалили событие."
"New Event","Новое событие"
"Something went wrong while saving this event.","При сохранении этого события что-то пошло не так."
"We did not upload your image.","Мы не загрузили ваше изображение."
"You saved the event.","Вы сохранили событие."
"%1 is required.","требуется %1."
"Please make sure the end date follows the start date.","Убедитесь, что дата окончания соответствует дате начала."
"Event for selected category","Событие для выбранной категории"
"This product is no longer on sale.","Этот товар больше не продается."
"Some of these products can no longer be sold.","Некоторые из этих товаров больше не могут быть проданы."
"Select Category","Выбрать категорию"
Days,Дней
Hrs,Час.
Mins,Мин.
Sec,Сек.
"Preview Sale","Предварительный просмотр продаж"
"Go To Sale","Перейти на продажу"
"View Sale","Просмотр продажи"
"Catalog Events","Каталог событий"
"Enable Catalog Events Functionality","Включить события функциональности каталога"
"Number of Events to be Displayed in Event Slider Widget","Количество событий, которые будут отображаться в виде слайдера событий"
"Events to Scroll per Click in Event Slider Widget","События для прокрутки за клик в слайдере события"
"List all open Catalog Events as a Paginated Carousel","Список всех открытых событий каталога в виде разбитой карусели"
"Frame Size","Размер рамки"
"Number of Items to display at once","Количество элементов для отображения за один раз"
Scroll,Прокрутка
"Number of Items to scroll per click","Количество элементов для прокрутки за клик"
"If empty, we'll automatically set the width value in pixels.","Если пусто, мы автоматически установим значение ширины в пикселях."
"Category ID","Категория ID"
Start,Старт
End,Конец
"Edit Event...","Редактировать события..."
"Add Event...","Добавьте событие..."
"Concrete type for %1 not implemented","Конкретный тип для %1 не выполнен"
"Missing key %1 in product data","Отсутсвует ключь %1 в данных о продукте"
"Category doesn't exist","Категория не существует"
"There are no product types available for export.","Для экспорта нет доступных типов продуктов."
"'Entity type model must be an instance of ' .","'Это должен быть пример модели сущности существования' ."
"Wrong attribute set code ""%1"", please correct it and try again.","Неверный код набора атрибутов ""%1"", пожалуйста исправьте его и повторите попытку."
"Category ""%1"" has not been created.","Категория ""%1"" не была создана."
"File directory '%1' is not readable.","Каталог '% 1' не доступен для чтения."
"File directory '%1' is not writable.","Каталог '% 1' не доступен для записи."
"Please enter a value for title.","Пожалуйста введите значение для названия."
"This name is already being used for custom option. Please enter a different name.","Это имя уже используется для пользовательской опции. Пожалуйста введите другое имя."
"Custom options have different types.","Пользовательские параметры имеют разные типы."
"Every option entity must have a parent product entity.","Каждый вариант должен иметь основное присутствие продукта."
"Please correct the parameters.","Пожалуйста исправьте параметры."
"File '%1' was not found or has read restriction.","Файл «%1» не существует или у вас нет прав на чтение."
"Disallowed file type.","Запрещенный тип файла."
"Minimum Qty","Минимальное кол-во"
"Add Minimum Qty","Добавьте минимальное кол-во"
"Could not rebuild index for empty products array","Не удалось перестроить индекс для пустых массивов товаров"
"This product is out of stock.","Этот продукт недоступен."
"Some of the products are out of stock.","Некоторых из этих продуктов нет в наличии."
"Undefined product type","Неопознанный тип продукта"
"No Backorders","Нет предзаказов"
"Allow Qty Below 0","Разрешить кол-во ниже 0"
"Allow Qty Below 0 and Notify Customer","Разрешить количество ниже 0 и уведомить клиента"
"Unable to save Stock","Не удается сохранить Запас"
"Please correct the quantity for some products.","Пожалуйста, исправьте количество для некоторых продуктов."
"Stock Status","Статус наличия"
"Only %1 left","Осталось всего %1"
"Product availability","Доступность продукта"
"Inventory Section","Секция Инвентаризации"
"Stock Options","Варианты Запаса"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Пожалуйста, обратите внимание, что эти параметры применяются к отдельным элементам в корзину, не всю корзину."
Stock,Склад
"New Permission","Новое разрешение"
(Allow),(Разрешить)
(Deny),(Запретить)
"Category Permissions","Права доступа к категории"
"Display Product Prices","Отображать цены товара"
"Yes, for Specified Customer Groups","Да, для групп указанного клиента"
"All Customer Groups","Все группы клиента"
Allow,Разрешить
Deny,Запретить
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">предупреждение!</strong> по умолчанию эта функция ограничивает все категории."
"Landing Page","Стартовая страница"
"Delete Rule","Удалить правило"
"Save and Apply","Сохранить и применить"
"Catalog Price Rule","Правило цены каталога"
"Add New Rule","Добавить новое правило"
"Apply Rules","Применить правила"
Conditions,Условия
Promotions,Продвижение
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Мы обнаружили обновленные правила, которые не применяются. Нажмите ""Применить правила"", чтобы обновить каталог."
"You deleted the rule.","Вы удалили правило."
"We can't find a rule to delete.","Мы не можем найти правило для удаления."
"New Catalog Price Rule","Правило цены нового каталога"
"Edit Rule","Редактировать правило"
"New Rule","Новое правило"
"You saved the rule.","Вы сохранили правило."
"Something went wrong while saving the rule data. Please review the error log.","При сохранении данных правила что-то пошло не так. Пожалуйста, просмотрите журнал ошибок."
Promo,Промо
"Unable to save rule %1","Не удется сохранить правило %1"
"Rule with specified ID ""%1"" not found.","Правило с указанным ID ""%1"" не найдено."
"Unable to remove rule %1","Не удается удалить правило %1"
"Catalog rule indexing failed. See details in exception log.","Ошибка индексации правила каталога. Смотрите подробности в журнале исключений."
"Percentage discount should be between 0 and 100.","Процентная скидка должна быть от 0 до 100."
"Discount value should be 0 or greater.","Значение скидки должно быть 0 или больше."
"Unknown action.","Неизвестное действие."
"Update the Product","Обновление товара"
"Rule price","Правило цены"
"By Fixed value","По фиксированному значению"
"Update product's %1 %2: %3","Обновление продукта %1 %2: %3"
"Apply as percentage of original","Подать заявку в процентах от оригинала"
"Apply as fixed amount","Применять как фиксированную сумму"
"Adjust final price to this percentage","Отрегулируйте конечную цену на этот процент"
"Conditions Combination","Сочетание условий"
"Product Attribute","Атрибут товара"
"Updated rules applied.","Обновлены правила применяны."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Вы отключили %1 Правила цены каталога, основанные на атрибуте ""%2""."
